OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,COUNTY_NAME,PREFERRED_CITY,Shape_Length,Shape_Area
1,98001,98001,033,Standard,King County,AUBURN,147925.493779762,525217802.261397
2,98002,98002,033,Standard,King County,AUBURN,104828.865666712,205453875.632937
3,98003,98003,033,Standard,King County,FEDERAL WAY,123619.72265619,316939470.198555
4,98004,98004,033,Standard,King County,BELLEVUE,109051.106480648,201759851.498656
5,98005,98005,033,Standard,King County,BELLEVUE,116554.737882324,211433670.129139
6,98006,98006,033,Standard,King County,BELLEVUE,107965.965880493,321915194.214386
7,98007,98007,033,Standard,King County,BELLEVUE,113051.218339912,115966943.669932
8,98008,98008,033,Standard,King County,BELLEVUE,94042.0321873931,153570437.324142
9,98010,98010,033,Standard,King County,BLACK DIAMOND,131813.741581612,519142697.012719
10,98011,98011,033,Standard,King County,BOTHELL,73516.7901581823,197687795.940177
11,98011,98011,061,Standard,Snohomish County,BOTHELL,2747.26696332521,152891.754499246
12,98012,98012,061,Standard,Snohomish County,BOTHELL,118120.446235075,442655681.004478
13,98014,98014,033,Standard,King County,CARNATION,231918.453780417,1159838488.28949
14,98019,98019,033,Standard,King County,DUVALL,313474.002491943,3188086068.40501
15,98019,98019,061,Standard,Snohomish County,DUVALL,7976.11143896626,2266669.89209572
16,98020,98020,061,Standard,Snohomish County,EDMONDS,76123.0968694223,143914405.491425
17,98021,98021,061,Standard,Snohomish County,BOTHELL,107426.418261817,275850295.763268
18,98022,98022,033,Standard,King County,ENUMCLAW,736038.171113947,11360756414.1864
19,98022,98022,053,Standard,Pierce County,ENUMCLAW,514413.097474541,8809822119.31185
20,98023,98023,033,Standard,King County,FEDERAL WAY,93096.4145974498,290536309.786997
21,98024,98024,033,Standard,King County,FALL CITY,364856.944543689,2193499469.62775
22,98026,98026,061,Standard,Snohomish County,EDMONDS,143346.105388857,256919774.830269
23,98027,98027,033,Standard,King County,ISSAQUAH,279608.268612459,1588773165.59127
24,98028,98028,033,Standard,King County,KENMORE,75032.3144887312,173097335.203159
25,98029,98029,033,Standard,King County,ISSAQUAH,113443.970423236,269776319.7645
26,98030,98030,033,Standard,King County,KENT,93284.5630945869,200650833.90657
27,98031,98031,033,Standard,King County,KENT,114217.445762463,228130484.998431
28,98032,98032,033,Standard,King County,KENT,164035.295036889,475767828.201697
29,98033,98033,033,Standard,King County,KIRKLAND,99649.3487210773,257384180.693252
30,98034,98034,033,Standard,King County,KIRKLAND,96056.3971205314,272525624.275475
31,98036,98036,061,Standard,Snohomish County,LYNNWOOD,120436.120679438,264576671.230692
32,98037,98037,061,Standard,Snohomish County,LYNNWOOD,83542.4992792156,170527033.667743
33,98038,98038,033,Standard,King County,MAPLE VALLEY,313202.918738837,1641555614.4232
34,98039,98039,033,Standard,King County,MEDINA,37226.8255749212,39349551.3692818
35,98040,98040,033,Standard,King County,MERCER ISLAND,75519.6591026005,175584208.596036
36,98042,98042,033,Standard,King County,KENT,208820.974605647,768284463.999041
37,98043,98043,061,Standard,Snohomish County,MOUNTLAKE TERRACE,49255.9029770433,116719819.426632
38,98045,98045,033,Standard,King County,NORTH BEND,644167.770744893,8056672348.45984
39,98047,98047,033,Standard,King County,PACIFIC,41797.6016313565,48811898.4794695
40,98047,98047,053,Standard,Pierce County,PACIFIC,18688.8122816165,17402071.962538
41,98050,98050,033,PO Box,King County,PRESTON,62720.6529760535,39535965.4973662
42,98051,98051,033,Standard,King County,RAVENSDALE,212924.686933562,1151477140.76021
43,98052,98052,033,Standard,King County,REDMOND,167453.208945305,546474682.511391
44,98053,98053,033,Standard,King County,REDMOND,200161.14440753,773072520.508315
45,98055,98055,033,Standard,King County,RENTON,67775.2341222813,124865108.739484
46,98056,98056,033,Standard,King County,RENTON,91990.0373857935,198493561.949512
47,98057,98057,033,Standard,King County,RENTON,85293.9103066179,184442624.938238
48,98058,98058,033,Standard,King County,RENTON,172731.984668837,627099574.266579
49,98059,98059,033,Standard,King County,RENTON,146767.840468439,462310927.859404
50,98065,98065,033,Standard,King County,SNOQUALMIE,352239.407796605,2405166818.50463
51,98068,98068,033,PO Box,King County,SNOQUALMIE PASS,12574.0265734574,2805831.69190258
52,98068,98068,037,PO Box,Kittitas County,SNOQUALMIE PASS,220130.81913371,1770029107.4582
53,98070,98070,033,Standard,King County,VASHON,272819.693396191,1010295820.04487
54,98072,98072,033,Standard,King County,WOODINVILLE,118818.786417592,368824724.724485
55,98072,98072,061,Standard,Snohomish County,WOODINVILLE,81701.8466458271,140602304.152551
56,98074,98074,033,Standard,King County,SAMMAMISH,115710.560550357,327719201.390004
57,98075,98075,033,Standard,King County,SAMMAMIISH,126760.047730031,290527155.926909
58,98077,98077,033,Standard,King County,WOODINVILLE,116788.249793754,419638041.913773
59,98077,98077,061,Standard,Snohomish County,WOODINVILLE,52323.6023294618,82659272.4102275
60,98087,98087,061,Standard,Snohomish County,LYNNWOOD,70657.6012640001,155851986.100195
61,98092,98092,033,Standard,King County,AUBURN,266563.708427157,1212593808.93982
62,98092,98092,053,Standard,Pierce County,AUBURN,36506.1137088772,45320225.2037747
63,98101,98101,033,Standard,King County,SEATTLE,23562.1739559445,14593372.2926844
64,98102,98102,033,Standard,King County,SEATTLE,37668.9123882431,43645701.8890904
65,98103,98103,033,Standard,King County,SEATTLE,72834.4125838739,144128265.914293
66,98104,98104,033,Standard,King County,SEATTLE,36004.4932908571,20914510.2179273
67,98105,98105,033,Standard,King County,SEATTLE,80390.6684517585,96229012.6797687
68,98106,98106,033,Standard,King County,SEATTLE,80785.5718298809,147539473.373475
69,98107,98107,033,Standard,King County,SEATTLE,53790.9788826657,65523352.3043567
70,98108,98108,033,Standard,King County,SEATTLE,85135.4526951801,215679620.00533
71,98109,98109,033,Standard,King County,SEATTLE,41041.9440474846,66380417.1796555
72,98110,98110,035,Standard,Kitsap County,BAINBRIDGE ISLAND,261622.880832056,757413743.748941
73,98112,98112,033,Standard,King County,SEATTLE,66126.0658357035,88034184.4288031
74,98115,98115,033,Standard,King County,SEATTLE,77426.1964564438,181392144.256606
75,98116,98116,033,Standard,King County,SEATTLE,46480.6286719417,81498869.6515464
76,98117,98117,033,Standard,King County,SEATTLE,56087.8885634181,107266298.51124
77,98118,98118,033,Standard,King County,SEATTLE,92103.7049991357,169726758.164282
78,98119,98119,033,Standard,King County,SEATTLE,58619.5439852156,77210683.2518304
79,98121,98121,033,Standard,King County,SEATTLE,24883.6027526808,12280618.9996143
80,98122,98122,033,Standard,King County,SEATTLE,49351.4513597302,64761389.3971602
81,98125,98125,033,Standard,King County,SEATTLE,67416.2040316976,149908656.435392
82,98126,98126,033,Standard,King County,SEATTLE,84229.2043618126,96431755.2738139
83,98133,98133,033,Standard,King County,SEATTLE,95305.6313519495,195671831.937022
84,98134,98134,033,Standard,King County,SEATTLE,65743.2048908988,112790352.737381
85,98136,98136,033,Standard,King County,SEATTLE,53039.7473320297,63212060.2740171
86,98144,98144,033,Standard,King County,SEATTLE,52270.1289258753,92549218.6638888
87,98146,98146,033,Standard,King County,SEATTLE,63570.3801248309,126433123.276858
